ID	Family	Genus	Species	Part	Unnamed: 5	is_approximate_match	is_synonym	matched_name	nomenclature_code	score	search_string	taxon.flags	taxon.is_suppressed	taxon.is_suppressed_from_synth	taxon.name	taxon.ott_id	taxon.rank	taxon.source	taxon.synonyms	taxon.tax_sources	taxon.unique_name	_merge
Geophila repens|WP	rubiaceae	Geophila	geophila repens	WP		False	False	Geophila repens	ICN	1.0	geophila repens	[]	False	False	Geophila repens	447912.0	species	ott3.5draft1	['Carinta herbacea', 'Carinta repens', 'Carinta repens americana', 'Carinta repens comorensis', 'Carinta uniflora', 'Cephaelis diversifolia', 'Cephaelis herbacea', 'Cephaelis reniformis', 'Geocardia cordata', 'Geocardia herbacea', 'Geocardia repens', 'Geophila cordata', 'Geophila diversifolia', 'Geophila herbacea', 'Geophila herbacea obicularis', 'Geophila herbacea violaefolia', 'Geophila hydrocotyloides', 'Geophila reniformis', 'Geophila reniformis americana', 'Geophila reniformis asiatica', 'Geophila repens asiatica', 'Geophila repens reniformis', 'Geophila uniflora', 'Geophila violacea', 'Mapouria cordata', 'Mapouria herbacea', 'Mapouria herbacea minor', 'Psychotria herbacea', 'Psychotria repens', 'Psychotria sylvana', 'Psychotria violacea', 'Psychotrophum herbaceum', 'Rondeletia repens', 'Uragoga herbacea', 'Uragoga reniformis']	['ncbi:58419', 'gbif:5340379', 'irmng:10592154']	Geophila repens	both
Olmedia aspera|L	moraceae	Olmedia	olmedia aspera	L		False	True	Olmedia aspera	ICN	1.0	olmedia aspera	[]	False	False	Trophis caucana	425685.0	species	ott3.5draft1	['Olmedia aspera', 'Olmedia caucana', 'Olmedia falcifolia', 'Olmedia poeppigiana', 'Trophis aurantiaca']	['ncbi:681501', 'gbif:3766728']	Trophis caucana	both
Carica pennata|L	caricaceae	Carica	carica pennata	L		False	True	Carica pennata	ICN	1.0	carica pennata	[]	False	False	Vasconcellea cauliflora	535096.0	species	ott3.5draft1	['Carica boissieri', 'Carica bourgeaui', 'Carica cauliflora', 'Carica pennata', 'Carica quinqueloba', 'Papaya bourgeaui', 'Papaya cauliflora', 'Vasconcellea boissieri']	['ncbi:262677', 'gbif:3838758']	Vasconcellea cauliflora	both
Cecropia peltata|L	cecropiaceae	Cecropia	cecropia peltata	L		False	False	Cecropia peltata	ICN	1.0	cecropia peltata	[]	False	False	Cecropia peltata	266711.0	species	ott3.5draft1	['Ambaiba humboldtiana', 'Ambaiba peltata', 'Ambaiba propinqua', 'Ambaiba schiedeana', 'Ambaiba surinamensis', 'Cecropia arachnoidea', 'Cecropia asperrima', 'Cecropia dielsiana', 'Cecropia digitata grisea', 'Cecropia goodspeedii', 'Cecropia hondurensis', 'Cecropia humboldtiana', 'Cecropia propinqua', 'Cecropia scabrifolia', 'Cecropia schiedeana', 'Cecropia surinamensis']	['ncbi:210352', 'gbif:2984476']	Cecropia peltata	both
Dracontium soconuscum|WP	araceae	Dracontium	dracontium soconuscum	WP		False	False	Dracontium soconuscum	ICN	1.0	dracontium soconuscum	[]	False	False	Dracontium soconuscum	3999167.0	species	ott3.5draft1	['Dracontium dressleri']	['gbif:5330706', 'irmng:10253855']	Dracontium soconuscum	both
Talisia allenii|L	sapindaceae	Talisia	talisia allenii	L		False	True	Talisia allenii	ICN	1.0	talisia allenii	[]	False	False	Talisia macrophylla	6127925.0	species	ott3.5draft1	['Cupania macrophylla', 'Talisia allenii', 'Talisia elephantipes', 'Talisia pentantha', 'Talisia sancarlosiana']	['gbif:3788166']	Talisia macrophylla	both
Trophis racemosa|L	moraceae	Trophis	trophis racemosa	L		False	False	Trophis racemosa	ICN	1.0	trophis racemosa	[]	False	False	Trophis racemosa	250420.0	species	ott3.5draft1	['Bucephalon racemosum', 'Clarisia urophylla', 'Pseudolmedia karstenii', 'Sahagunia urophylla', 'Sorocea colombiana', 'Trophis americana', 'Trophis americana meridionalis', 'Trophis americana ramon', 'Trophis racemosa meridionalis', 'Trophis ramon']	['ncbi:241934', 'gbif:2984648', 'irmng:10587354']	Trophis racemosa	both
Rauvolfia littoralis|L	apocynaceae	Rauvolfia	rauvolfia littoralis	L		False	False	Rauvolfia littoralis	ICN	1.0	rauvolfia littoralis	[]	False	False	Rauvolfia littoralis	651357.0	species	ott3.5draft1	['Rauvolfia indosinensis', 'Rauvolfia macrocarpa', 'Rauvolfia multiflora']	['ncbi:681485', 'gbif:3617926', 'gbif:7874193']	Rauvolfia littoralis	both
Samanea saman|AE	fabaceae/mim.	Samanea	samanea saman	AE		False	False	Samanea saman	ICN	1.0	samanea saman	[]	False	False	Samanea saman	930721.0	species	ott3.5draft1	['Acacia propinqua', 'Albizia saman', 'Albizzia saman', 'Calliandra saman', 'Enterolobium saman', 'Feuilleea saman', 'Inga cinerea', 'Inga salutaris', 'Inga saman', 'Mimosa pubifera', 'Mimosa saman', 'Pithecellobium cinereum', 'Pithecellobium saman', 'Pithecellobium saman saman', 'Pithecolobium saman', 'Zygia saman']	['ncbi:76910', 'gbif:2972949', 'irmng:10171105']	Samanea saman	both
Cojoba arborea|L	fabaceae/mim.	Cojoba	cojoba arborea	L		False	False	Cojoba arborea	ICN	1.0	cojoba arborea	[]	False	False	Cojoba arborea	337227.0	species	ott3.5draft1	['Acacia arborea', 'Cojoba austrina', 'Cojoba colombiana', 'Cojoba guatemalensis', 'Cojoba matudai', 'Cojoba tonduzii', 'Cojoba tuerckheimii', 'Mimosa arborea', 'Mimosa filicifolia', 'Pithecellobium arboreum', 'Pithecellobium cubense', 'Pithecellobium filicifolium', 'Pithecellobium vulcanorum', 'Pithecolobium arboreum', 'Pithecolobium austrinum', 'Pithecolobium matudai', 'Pithecolobium tonduzii', 'Pithecolobium tuerckheimii', 'Pithecolobium vulcanorum', 'Samanea arborea']	['ncbi:466220', 'gbif:2981383', 'irmng:11055807']	Cojoba arborea	both
Clidemia ciliata|WP	melastomataceae	Clidemia	clidemia ciliata	WP		False	False	Clidemia ciliata	ICN	1.0	clidemia ciliata	[]	False	False	Clidemia ciliata	756992.0	species	ott3.5draft1	['Calophysa ciliata']	['ncbi:263232', 'gbif:3866487']	Clidemia ciliata	both
