Family	Genus	Species	matched_name	taxon.name	taxon.ott_id	taxon.synonyms	NCBITaxonomy
moraceae	Clarisia	clarisia racemosa	Clarisia racemosa	Clarisia racemosa	6108003.0	['Clarisia nitida', 'Soaresia nitida', 'Sorocea nitida']	871999|Clarisia racemosa
sapotaceae	Sarcaulus	sarcaulus brasiliensis	Sarcaulus brasiliensis	Sarcaulus brasiliensis	296601.0	['Achras brasiliensis', 'Chrysophyllum brasiliense', 'Chrysophyllum brasiliense minus', 'Chrysophyllum macrophyllum', 'Sarcaulus brasiliensis brasiliensis', 'Sarcaulus macrophyllus']	357095|Sarcaulus brasiliensis
cucurbitaceae	Gurania	gurania makoyana	Gurania makoyana	Gurania makoyana	918223.0	['Anguria eriantha', 'Anguria makoyana', 'Gurania donnell-smithii', 'Gurania levyana', 'Gurania pittieri', 'Gurania seemanniana', 'Gurania tonduziana', 'Momordica palmata']	213601|Gurania makoyana
lecythidaceae	Eschweilera	eschweilera longirachis	Eschweilera longirachis	Eschweilera longirachis	858191.0	['Eschweilera collinsii']	372718|Eschweilera longirachis
marantaceae	Calathea	calathea donnell-smithii	Calathea donnell-smithii	Goeppertia donnell-smithii	3947374.0	['Calathea donnell-smithii']	
fabaceae/caes.	Hymenaea	hymenaea courbaril	Hymenaea courbaril	Hymenaea courbaril	31277.0	['Hymenaea altissima', 'Hymenaea animifera', 'Hymenaea candolleana', 'Hymenaea courbaril courbaril', 'Hymenaea courbaril obtusifolia', 'Hymenaea multiflora', 'Hymenaea resinifera', 'Hymenaea retusa', 'Hymenaea splendida', 'Hymenaea stilbocarpa', 'Inga megacarpa']	20676|Hymenaea courbaril
fabaceae/mim.	Entada	entada polystachya	Entada polystachya	Entada polystachya	599225.0	['Acacia caudata', 'Adenanthera bonplandiana', 'Adenopodia polystachya', 'Entada plumieri', 'Entadopsis polystachya', 'Mimosa bipinnata', 'Mimosa caudata', 'Mimosa chiliantha', 'Mimosa polystachya']	489317|Entada polystachya
rubiaceae	Genipa	genipa americana	Genipa americana	Genipa americana	771037.0	['Gardenia brasiliensis', 'Gardenia genipa', 'Gardenia hexandra', 'Gardenia oblongifolia', 'Genipa americana americana', 'Genipa americana caruto', 'Genipa americana grandifolia', 'Genipa americana jorgensenii', 'Genipa americana parvifolia', 'Genipa americana riobranguense', 'Genipa americana riobranquenses', 'Genipa americana riobranquensis', 'Genipa barbata', 'Genipa brasiliana', 'Genipa brasiliensis', 'Genipa caruto', 'Genipa codonocalyx', 'Genipa excelsa', 'Genipa grandifolia', 'Genipa humilis', 'Genipa oblongifolia', 'Genipa oleosa', 'Genipa pubescens', 'Genipa venosa']	58486|Genipa americana
fabaceae/caes.	Cassia	cassia grandis	Cassia grandis	Cassia grandis	380064.0	['Bactyrilobium grande', 'Bactyrilobium molle', 'Cassia brasiliana', 'Cassia brasiliana tomentosa', 'Cassia brasiliensis', 'Cassia mollis', 'Cassia pachycarpa', 'Cathartocarpus brasilianus', 'Cathartocarpus erubescens', 'Cathartocarpus grandis']	162709|Cassia grandis
pteridaceae	Acrostichum	acrostichum aureum	Acrostichum aureum	Acrostichum aureum	190945.0	['Acrostichum aureum hirsutum', 'Acrostichum aureum marginatum', 'Acrostichum aureum urvillei', 'Acrostichum cayennense', 'Acrostichum crassifolium', 'Acrostichum emarginatum', 'Acrostichum fasciculatum', 'Acrostichum formosum', 'Acrostichum guineense', 'Acrostichum inaequale', 'Acrostichum juglandifolium', 'Acrostichum marginatum', 'Acrostichum obliquum', 'Acrostichum rigens', 'Acrostichum scalpturatum', 'Acrostichum spectabile', 'Acrostichum urvillei', 'Acrostichum wightianum', 'Aspidium emarginatum', 'Asplenium arifolium', 'Chrysodium aureum', 'Chrysodium cayennense', 'Chrysodium fasciculatum', 'Chrysodium hirsutum', 'Chrysodium inaequale', 'Chrysodium scalpturatum', 'Chrysodium speciosum', 'Chrysodium urvillei', 'Chrysodium vulgare', 'Gymnogramma arifolia', 'Hemionitis arifolia', 'Parahemionitis arifolia', 'Polystichum dissimulans', 'Polystichum emarginatum']	29594|Acrostichum aureum
rubiaceae	Guettarda	guettarda sanblasensis	Guettarda sanblasensis	Guettarda sanblasensis	3880497.0	[]	
combretaceae	Laguncularia	laguncularia racemosa	Laguncularia racemosa	Laguncularia racemosa	197754.0	['Bucida buceras', 'Conocarpus racemosa', 'Horau racemosus', 'Laguncuaria racemosa', 'Laguncularia martii', 'Laguncularia obovata', 'Rhizaeris alba', 'Schousboea commutata']	190524|Laguncularia racemosa
solanaceae	Cestrum	cestrum strigilatum	Cestrum strigilatum	Cestrum strigilatum	275967.0	['Cestrum aristeguietae', 'Cestrum calycinum', 'Cestrum calycinum brevitubulata', 'Cestrum calycinum tenuiflorum', 'Cestrum cancellatum', 'Cestrum impressum', 'Cestrum longifolium', 'Cestrum lundianum', 'Cestrum sesseoides', 'Cestrum strigillatum', 'Cestrum strigillatum calycinum', 'Cestrum strigillatum laxiflorum', 'Cestrum strigillatum tenuiflorum', 'Cestrum unibracteatum', 'Cestrum unibracteatum brachystachys', 'Cestrum viridiflorum', 'Sessea rugosa']	295493|Cestrum strigilatum
solanaceae	Solanum	solanum circinatum	Solanum circinatum	Solanum circinatum	280098.0	[]	265393|Solanum circinatum
moraceae	Maclura	maclura tinctoria	Maclura tinctoria	Maclura tinctoria	922301.0	['Broussonetia plumerii', 'Broussonetia tinctoria', 'Broussonetia xanthoxylon', 'Chlorophora mora', 'Chlorophora reticulata', 'Chlorophora tinctoria', 'Chlorophora tinctoria acuminatissima', 'Chlorophora tinctoria affinis', 'Chlorophora tinctoria miqueliana', 'Chlorophora tinctoria mora', 'Chlorophora tinctoria ovata', 'Chlorophora tinctoria polyneura', 'Chlorophora tinctoria tataiba', 'Chlorophora tinctoria xanthoxylon', 'Chlorophora tinctoria zanthoxylon', 'Fusticus glabra', 'Fusticus tataiba', 'Fusticus tinctoria', 'Fusticus vera', 'Fusticus xanthoxylon', 'Ioxylon mora', 'Machtra tinctoria subcuneata', 'Maclura affinis', 'Maclura chlorocarpa', 'Maclura mora', 'Maclura plumerii', 'Maclura plumiera', 'Maclura polyneura', 'Maclura sempervirens', 'Maclura sieberi', 'Maclura subintegerrima', 'Maclura tinctoria affinis', 'Maclura tinctoria chlorocarpa', 'Maclura tinctoria mora', 'Maclura tinctoria ovata', 'Maclura tinctoria polyneura', 'Maclura tinctoria subintegerrirna', 'Maclura tinctoria xanthoxylon', 'Maclura tinctoria zanthoxylon', 'Maclura trilobata', 'Maclura velutina', 'Maclura xanthoxyloides', 'Maclura xanthoxylon', 'Morus brasiliensis', 'Morus dioica', 'Morus plumiera', 'Morus spinosa', 'Morus tataiba', 'Morus tatayiba', 'Morus tictoria', 'Morus tinctoria', 'Morus xanthoxylon', 'Procris sieberi']	681456|Maclura tinctoria
convolvulaceae	Ipomoea	ipomoea setosa	Ipomoea setosa	Ipomoea setosa	986483.0	['? pavonii', 'Batatas setosa', 'Calonyction pavonii', 'Calonyction setosum', 'Convolvulus setosus', 'Ipomoea chaetophora', 'Ipomoea horrida', 'Ipomoea melanotricha', 'Ipomoea pavoni', 'Ipomoea pedata', 'Ipomoea setosa pavonii', 'Merremia pavonii', 'Modesta setosa', 'Operculina pavonii']	89662|Ipomoea setosa
cyclanthaceae	Carludovica	carludovica drudei	Carludovica drudei	Carludovica drudei	375173.0	['Carludovica speciosa', 'Carludovica tabascana']	263444|Carludovica drudei
anacardiaceae	Spondias	spondias radlkoferi	Spondias radlkoferi	Spondias radlkoferi	781279.0	['Spondias nigrescens']	341681|Spondias radlkoferi
euphorbiaceae	Adelia	adelia triloba	Adelia triloba	Adelia triloba	856043.0	['Ricinella triloba']	353064|Adelia triloba
fabaceae/mim.	Enterolobium	enterolobium cyclocarpum	Enterolobium cyclocarpum	Enterolobium cyclocarpum	677322.0	['Albizia longipes', 'Enterolobium cyclocarpa', 'Feuilleea cyclocarpa', 'Inga cyclocarpa', 'Mimosa cyclocarpa', 'Mimosa parota', 'Pithecellobium cyclocarpum', 'Prosopis dubia']	54878|Enterolobium cyclocarpum
fabaceae/mim.	Mimosa	mimosa pudica	Mimosa pudica	Mimosa pudica	333195.0	['Mimosa hispidula', 'Mimosa pudica glabrata', 'Mimosa tetrandra', 'Mimosa unijuga']	76306|Mimosa pudica
solanaceae	Solanum	solanum storckii	Solanum storkii	Solanum storkii	3869938.0	[]	
poaceae	Holcus	holcus lanatus	Holcus lanatus	Holcus lanatus	762970.0	['Aira lanata', 'Avena lanata', 'Avena pallida', 'Ginannia lanata', 'Holcus aestivalis', 'Holcus argenteus', 'Holcus glaucus', 'Holcus intermedius', 'Holcus lanatus albovirens', 'Holcus lanatus altissimus', 'Holcus lanatus argenteus', 'Holcus lanatus biaristatus', 'Holcus lanatus ciliatus', 'Holcus lanatus coloratus', 'Holcus lanatus glabrescens', 'Holcus lanatus glaucus', 'Holcus lanatus leucoglumis', 'Holcus lanatus purpurascens', 'Holcus lanatus scaber', 'Holcus lanatus soboliferus', 'Holcus lanatus spectabilis', 'Holcus lanatus triflorus', 'Holcus lanatus tuberosus', 'Holcus lanatus vaginatus', 'Holcus lanatus viviparus', 'Holcus muticus', 'Holcus oriolis', 'Holcus tuberosus', 'Nothoholcus lanatus', 'Notholcus lanatus', 'Pentaschistis pallida']	29679|Holcus lanatus
celastraceae	Maytenus	maytenus woodsonii	Maytenus woodsonii	Maytenus woodsonii	433240.0	['Maytenus blepharodes', 'Maytenus vulcanicola']	1081529|Maytenus woodsonii
convallariaceae	Maianthemum	maianthemum paludicola	Maianthemum paludicola	Maianthemum paludicola	3995526.0	[]	
violaceae	Rinorea	rinorea squamata	Rinorea squamata	Rinorea squamata	321533.0	['Rinorea pubipes']	1129535|Rinorea squamata
myristicaceae	Virola	virola multiflora	Virola multiflora	Virola multiflora	106901.0	['Dialyanthera multiflora', 'Virola brachycarpa']	672152|Virola multiflora
fabaceae/pap.	Erythrina	erythrina berteroana	Erythrina berteroana	Erythrina berteroana	3921474.0	['Erythrina berteriana', 'Erythrina neglecta']	1471844|Erythrina berteroana
solanaceae	Solanum	solanum rudepannum	Solanum rudepannum	Solanum rudepannum	192054.0	[]	744116|Solanum rudepannum
piperaceae	Piper	piper tuberculatum	Piper tuberculatum	Piper tuberculatum	443344.0	['Artanthe decurrens', 'Artanthe tuberculata', 'Piper acutifolium', 'Piper arboreum tuberculatum', 'Piper cujabanum', 'Piper ellipticum', 'Piper macrourum', 'Piper nutans', 'Piper obliquum', 'Piper santo-domingense', 'Piper scabrum', 'Piper tuberculatum rigido-membranaceum', 'Piper tuberculatum scandens', 'Piper verrucosum', 'Piper yurimaguasanum', 'Steffensia tuberculata']	247704|Piper tuberculatum
vitaceae	Cissus	cissus verticillata	Cissus verticillata	Cissus verticillata	578906.0	['Cissus sicyoides']	289665|Cissus verticillata
rubiaceae	Randia	randia altiscandens	Randia altiscandens	Randia altiscandens	210035.0	['Basanacantha altiscandens', 'Randia pepoformis']	203049|Randia altiscandens
asteraceae	Verbesina	verbesina myriocephala	Verbesina myriocephala	Verbesina myriocephala	750174.0	['Verbesina costaricensis', 'Verbesina gigantoides']	121905|Verbesina myriocephala
apocynaceae	Plumeria	plumeria rubra	Plumeria rubra	Plumeria rubra	590760.0	['Plumeria acuminata', 'Plumeria acutifolia', 'Plumeria acutifolia gasparrinii', 'Plumeria angustifolia', 'Plumeria arborea', 'Plumeria arborescens', 'Plumeria aurantia', 'Plumeria aurantiaca', 'Plumeria bicolor', 'Plumeria blandfordiana', 'Plumeria carinata', 'Plumeria conspicua', 'Plumeria gouanii', 'Plumeria incarnata', 'Plumeria incarnata milleri', 'Plumeria jamesonii', 'Plumeria kerrii', 'Plumeria kunthiana', 'Plumeria lambertiana', 'Plumeria loranthifolia', 'Plumeria lutea', 'Plumeria macrophylla', 'Plumeria megaphylla', 'Plumeria mexicana', 'Plumeria milleri', 'Plumeria mollis', 'Plumeria northiana', 'Plumeria purpurea', 'Plumeria rubra acuminata', 'Plumeria rubra acutifolia', 'Plumeria rubra lutea', 'Plumeria rubra tricolor', 'Plumeria tenorii', 'Plumeria tenuifolia', 'Plumeria tricolor']	62097|Plumeria rubra
asteraceae	Mikania	mikania micrantha	Mikania micrantha	Mikania micrantha	266305.0	['? orinocense', 'Eupatorium denticulatum', 'Eupatorium orinocense', 'Eupatorium orinocense orinocense', 'Eupatorium orinocense tamoides', 'Mikania batatifolia', 'Mikania deltoides', 'Mikania denticulata', 'Mikania glechomaefolia', 'Mikania glechomifolia', 'Mikania micrantha hirsuta', 'Mikania micrantha micrantha', 'Mikania orinocensis', 'Mikania scandens genuina', 'Mikania scandens hirsuta', 'Mikania scandens pubescens', 'Mikania scandens subcymosa', 'Mikania scandens umbellifera', 'Mikania scandens villosa', 'Mikania sinuata', 'Mikania subcrenata', 'Mikania subcymosa', 'Mikania tamoides', 'Mikania umbellifera', 'Mikania variabilis', 'Willoughbya heterophylla', 'Willoughbya micrantha', 'Willoughbya scandens orinocensis', 'Willoughbya variabilis']	192012|Mikania micrantha
solanaceae	Solanum	solanum adhaerens	Solanum adhaerens	Solanum adhaerens	207710.0	[]	115660|Solanum adhaerens
euphorbiaceae	Chamaesyce	chamaesyce hypericifolia	Chamaesyce hypericifolia	Euphorbia hypericifolia	504126.0	['Anisophyllum hypericifolium', 'Chamaesyce boliviana', 'Chamaesyce glomerifera', 'Chamaesyce hypericifolia', 'Ditrita obliqua', 'Ditritra obliqua', 'Euphorbia boliviana', 'Euphorbia glomerifera', 'Euphorbia hypericifolia maculata', 'Euphorbia papilligera']	212834|Euphorbia hypericifolia
viscaceae	Phoradendron	phoradendronnov	Phoradendron	Phoradendron	388681.0	['Allobium', 'Spiciviscum']	3967|Phoradendron
euphorbiaceae	Cnidoscolus	cnidoscolus urens	Cnidoscolus urens	Cnidoscolus urens	607945.0	['Bivonea stimulosa', 'Bivonea urens', 'Cnidoscolus adenophilus', 'Cnidoscolus herbaceus', 'Cnidoscolus loefgrenii', 'Cnidoscolus marcgravii', 'Cnidoscolus mexicanus', 'Cnidoscolus michauxii', 'Cnidoscolus neglectus', 'Cnidoscolus osteocarpus', 'Cnidoscolus stimulosus', 'Cnidoscolus tenuifolius', 'Janipha urens', 'Jatropha adenophila', 'Jatropha herbacea', 'Jatropha loefgrenii', 'Jatropha neglecta', 'Jatropha osteocarpa', 'Jatropha stimulosa', 'Jatropha stipulosa', 'Jatropha tenuifolia', 'Jatropha urens', 'Jatropha urens genuina', 'Jussieuia herbacea', 'Manihot herbacea', 'Manihot urens']	316878|Cnidoscolus urens
fabaceae/caes.	Senna	senna cobanensis	Senna cobanensis	Senna cobanensis	3916918.0	['Cassia cobanensis', 'Cassia leiophylla pubescens', 'Vogelocassia cobanensis']	
convolvulaceae	Merremia	merremia umbellata	Merremia umbellata	Camonea umbellata	530880.0	['Amphione cymosa', 'Camonea bifida', 'Convolvulus aristolochiifolius', 'Convolvulus bifidus', 'Convolvulus blandus', 'Convolvulus caliginosus', 'Convolvulus caracasanus', 'Convolvulus cymosus', 'Convolvulus densiflorus', 'Convolvulus flavus', 'Convolvulus havanensis', 'Convolvulus lotnoha', 'Convolvulus millerianus', 'Convolvulus multiflorus', 'Convolvulus pentagonus', 'Convolvulus rothii', 'Convolvulus sagittifer', 'Convolvulus umbellatus', 'Fraxima umbellata', 'Ipomoea bifida', 'Ipomoea blanda', 'Ipomoea cymosa', 'Ipomoea cymosa macra', 'Ipomoea heynei', 'Ipomoea longipes', 'Ipomoea micans', 'Ipomoea mollicoma', 'Ipomoea multiflora', 'Ipomoea oenotheriflora', 'Ipomoea pentagona', 'Ipomoea polyanthes', 'Ipomoea portobellensis', 'Ipomoea primuliflora', 'Ipomoea rothii', 'Ipomoea sagittifera', 'Ipomoea sagittoides', 'Ipomoea umbellata', 'Merremia rondoniana', 'Merremia umbellata', 'Merremia umbellata cochleata', 'Merremia umbellata macra', 'Merremia umbellata orientalis', 'Merremia umbellata rotundifolia', 'Tirtalia umbellata']	197417|Camonea umbellata
verbenaceae	Lippia	lippia cardiostegia	Lippia cardiostegia	Lippia cardiostegia	5793625.0	['Lippia brenesii', 'Lippia cardiostegia skutchii', 'Lippia durangensis', 'Lippia hypoleia ovatifolia', 'Lippia lucens', 'Lippia myriocephala ovatifolia', 'Lippia salamensis', 'Lippia tepicana']	1475416|Lippia cardiostegia
asteraceae	Onoseris	onoseris onoseroides	Onoseris onoseroides	Onoseris onoseroides	390666.0	['Caloseris rupestris', 'Cataleuca rubicunda', 'Hilairia paniculata', 'Isotypus onoseroides', 'Onoseris conspicua', 'Onoseris isotypus', 'Onoseris paniculata', 'Onoseris rupestris', 'Rhodoseris conspicua', 'Schaetzellia deckeri', 'Seris conspicua', 'Seris onoseroides', 'Seris rupestris', 'Spilanthes acmella paniculata']	882374|Onoseris onoseroides
asteraceae	Ageratum	ageratum conyzoides	Ageratum conyzoides	Ageratum conyzoides	885278.0	['Ageratum album', 'Ageratum arsenei', 'Ageratum brachystephanum', 'Ageratum ciliare', 'Ageratum coeruleum', 'Ageratum conyzoides album', 'Ageratum conyzoides conyzoides', 'Ageratum conyzoides hirtum', 'Ageratum conyzoides inaequipaleaceum', 'Ageratum conyzoides latifolium', 'Ageratum conyzoides obtusifolia', 'Ageratum conyzoides obtusifolium', 'Ageratum conyzoides pilosum', 'Ageratum cordifolium', 'Ageratum hirsutum', 'Ageratum hirtum', 'Ageratum humile', 'Ageratum latifolium', 'Ageratum latifolium galapageium', 'Ageratum latifolium latifolium', 'Ageratum muticum', 'Ageratum nanum', 'Ageratum obtusifolium', 'Ageratum odoratum', 'Ageratum sandwicense', 'Ageratum suffruticosum', 'Alomia coelestina', 'Alomia microcarpa torresii', 'Cacalia mentrasto', 'Caelestina suffruticosa', 'Carelia brachystephana', 'Carelia conyzoides', 'Carelia mutica', 'Coelestina latifolia', 'Coelestina microcarpa', 'Coelestina suffruticosa', 'Eupatorium conyzoides', 'Eupatorium conyzoides conyzoides', 'Eupatorium paleaceum', 'Phalacraea coelestina', 'Piqueria coelestina', 'Sparganophorus obtusifolius', 'Spilanthes alba']	68299|Ageratum conyzoides
convolvulaceae	Ipomoea	ipomoea nil	Ipomoea nil	Ipomoea nil	77355.0	['Cleiemera hederacea', 'Cleiemera hirsuta', 'Cleiemera peruviana', 'Convolvuloides triloba', 'Convolvulus coelestis', 'Convolvulus coeruleus', 'Convolvulus dillenii', 'Convolvulus hederaceus', 'Convolvulus hederifolius', 'Convolvulus hirsutus', 'Convolvulus lindleyi', 'Convolvulus nil', 'Convolvulus tomentosus', 'Convolvulus variifolius', 'Ipomoea avicularis', 'Ipomoea azurea', 'Ipomoea barbata', 'Ipomoea bicolor', 'Ipomoea caerulea', 'Ipomoea caerulescens', 'Ipomoea cuspidata', 'Ipomoea dillenii', 'Ipomoea hederacea', 'Ipomoea hirsutula', 'Ipomoea limbata', 'Ipomoea longicuspis', 'Ipomoea longicuspis brevipes', 'Ipomoea nil limbata', 'Ipomoea nil setosa', 'Ipomoea phymatodes', 'Ipomoea punctata', 'Ipomoea scabra', 'Ipomoea scabrida', 'Ipomoea setosa', 'Ipomoea speciosa', 'Ipomoea trichocalyx', 'Ipomoea triloba', 'Ipomoea vaniotiana', 'Ornithosperma autumnalis', 'Pharbitis barbata', 'Pharbitis caerulea', 'Pharbitis caerulescens', 'Pharbitis cuspidata', 'Pharbitis dillenii', 'Pharbitis diversifolia', 'Pharbitis limbata', 'Pharbitis mutabilis', 'Pharbitis nil', 'Pharbitis punctata', 'Pharbitis purshii', 'Pharbitis scabra', 'Pharbitis scabrida', 'Pharbitis speciosa', 'Pharbitis triloba']	35883|Ipomoea nil
myrsinaceae	Stylogyne	stylogyne laevis					
poaceae	Agrostis	agrostis capillaris	Agrostis capillaris	Agrostis capillaris	550221.0	['Agrostis alba', 'Agrostis alba aristata', 'Agrostis alba minor', 'Agrostis alba pumila', 'Agrostis alba stricta', 'Agrostis alba sylvatica', 'Agrostis alba tenuis', 'Agrostis alba vulgaris', 'Agrostis atroviolacea', 'Agrostis canina glaucina', 'Agrostis capillaris alpigena', 'Agrostis capillaris aristata', 'Agrostis capillaris aristulata', 'Agrostis capillaris capillaris', 'Agrostis capillaris dubia', 'Agrostis capillaris glaucina', 'Agrostis capillaris oreophila', 'Agrostis capillaris pumila', 'Agrostis capillaris repens', 'Agrostis capillaris sambukii', 'Agrostis capillaris violacea', 'Agrostis ceretana', 'Agrostis claudii', 'Agrostis divaricata', 'Agrostis dubia', 'Agrostis ericetorum', 'Agrostis exilis', 'Agrostis glaucina', 'Agrostis helenae', 'Agrostis hispida', 'Agrostis laxa', 'Agrostis laxa pumila', 'Agrostis lithuanica', 'Agrostis maritima', 'Agrostis maritima publ', 'Agrostis marysae-tortiae', 'Agrostis navarroi', 'Agrostis palustris stricta', 'Agrostis polymorpha breviligulata', 'Agrostis polymorpha capillaris', 'Agrostis polymorpha pumila', 'Agrostis polymorpha stricta', 'Agrostis polymorpha sylvatica', 'Agrostis pumila', 'Agrostis pumila aristata', 'Agrostis retroflexa', 'Agrostis rubra glauca', 'Agrostis rubra mutica', 'Agrostis rubra pumila', 'Agrostis simulans', 'Agrostis stolonifera diffusa', 'Agrostis stolonifera hispida', 'Agrostis stolonifera minor', 'Agrostis stolonifera vulgaris', 'Agrostis stricta', 'Agrostis sylvatica', 'Agrostis tarda', 'Agrostis tenuis', 'Agrostis tenuis alpestris', 'Agrostis tenuis alpina', 'Agrostis tenuis aristata', 'Agrostis tenuis capillaris', 'Agrostis tenuis contracta', 'Agrostis tenuis hispida', 'Agrostis tenuis hornungiana', 'Agrostis tenuis humilis', 'Agrostis tenuis microstachys', 'Agrostis tenuis montana', 'Agrostis tenuis oreophila', 'Agrostis tenuis parviflora', 'Agrostis tenuis pumila', 'Agrostis tenuis repens', 'Agrostis tenuis scaberrima', 'Agrostis tenuis schurii', 'Agrostis tenuis setifrons', 'Agrostis tenuis tenuis', 'Agrostis tenuis umbrosa', 'Agrostis tenuis vulgaris', 'Agrostis trinervata', 'Agrostis vernalis', 'Agrostis versicolor', 'Agrostis violacea', 'Agrostis vulgaris', 'Agrostis vulgaris alpestris', 'Agrostis vulgaris alpigena', 'Agrostis vulgaris arenicola', 'Agrostis vulgaris aristata', 'Agrostis vulgaris canina', 'Agrostis vulgaris capillaris', 'Agrostis vulgaris collina', 'Agrostis vulgaris contracta', 'Agrostis vulgaris curvata', 'Agrostis vulgaris divaricata', 'Agrostis vulgaris elongata', 'Agrostis vulgaris ericetorum', 'Agrostis vulgaris glauca', 'Agrostis vulgaris glaucina', 'Agrostis vulgaris hispida', 'Agrostis vulgaris hornungiana', 'Agrostis vulgaris humilis', 'Agrostis vulgaris laxa', 'Agrostis vulgaris losae', 'Agrostis vulgaris minor', 'Agrostis vulgaris montana', 'Agrostis vulgaris mutica', 'Agrostis vulgaris pallescens', 'Agrostis vulgaris pallida', 'Agrostis vulgaris parviflora', 'Agrostis vulgaris plena', 'Agrostis vulgaris pumila', 'Agrostis vulgaris repens', 'Agrostis vulgaris rigida', 'Agrostis vulgaris rubra', 'Agrostis vulgaris saxatilis', 'Agrostis vulgaris umbracola', 'Agrostis vulgaris umbrosa', 'Agrostis vulgaris violacea', 'Agrostis vulgaris vivipara', 'Aira tenorei', 'Decandolia pumila', 'Decandolia vulgaris', 'Milium hispidum', 'Milium vulgare', 'Milium vulgare divaricatum', 'Trichodium capillaris', 'Trichodium glaucinum', 'Trichodium strictum', 'Vilfa alba conferta', 'Vilfa alba nuda', 'Vilfa alba sylvatica', 'Vilfa divaricata', 'Vilfa divaricata pumila', 'Vilfa hispida', 'Vilfa pumila', 'Vilfa sylvatica', 'Vilfa vulgaris']	204232|Agrostis capillaris
asteraceae	Roldana	roldana scandens	Roldana scandens	Roldana scandens	7610484.0	[]	
campanulaceae	Centropogon	centropogon valerii	Centropogon valerii	Centropogon valerii	546743.0	['Centropogon grandidentatus valerii', 'Centropogon stenophyllus', 'Centropogon valeri', 'Centropogon valerii kupperi', 'Centropogon valerioi']	671250|Centropogon valerii
piperaceae	Peperomia	peperomia galioides	Peperomia galioides	Peperomia galioides	680637.0	['Peperomia agapatensis', 'Peperomia amphoterophylla', 'Peperomia amphoterophylla glutineofructa', 'Peperomia anisophylla', 'Peperomia apoda', 'Peperomia brachycaula', 'Peperomia ceapanana', 'Peperomia chillonensis', 'Peperomia dendroides', 'Peperomia dendromorphis', 'Peperomia distractiflora', 'Peperomia galiifolia', 'Peperomia galioides aprica', 'Peperomia galioides aromatica', 'Peperomia galioides longifolia', 'Peperomia galioides menkeana', 'Peperomia galioides minutifolia', 'Peperomia galioides nigropunctulata', 'Peperomia galioides saxicola', 'Peperomia galioides umbrosa', 'Peperomia gallitoensis', 'Peperomia garrapatilla', 'Peperomia granata', 'Peperomia guayabillosana', 'Peperomia heterophylla', 'Peperomia inaequalifolia galioides', 'Peperomia inaequalifolia var. galioides', 'Peperomia jamesonii', 'Peperomia longispica', 'Peperomia medianiana', 'Peperomia menkeana', 'Peperomia mollugo', 'Peperomia muscicola', 'Peperomia muscisedens', 'Peperomia oblongifolia', 'Peperomia okarana', 'Peperomia redondoana', 'Peperomia suaveolens', 'Peperomia subcorymbosa', 'Peperomia trullifolia', 'Piper galioides', 'Piper suaveolens']	352177|Peperomia galioides
bromeliaceae	Werauhia	werauhia ororiensis	Werauhia ororiensis	Werauhia ororiensis	23070.0	['Guzmania ororiensis', 'Thecophyllum crassiflorum', 'Thecophyllum cylindraceum', 'Thecophyllum irazuense', 'Thecophyllum kupperi', 'Thecophyllum ororiense', 'Thecophyllum standleyi', 'Vriesea crassiflora', 'Vriesea cylindracea', 'Vriesea irazuensis', 'Vriesea kupperi', 'Vriesea ororiensis', 'Vriesea standleyi']	294115|Werauhia ororiensis
onagraceae	Fuchsia	fuchsiaendens					
blechnaceae	Blechnum	blechnum buchtienii	Blechnum buchtienii	Lomariocycas aurata	5689986.0	['Blechnum auratum', 'Blechnum buchtienii', 'Lomaria aurata', 'Lomariocycas buchtienii', 'Struthiopteris buchtienii']	1816501|Lomariocycas aurata
gunneraceae	Gunnera	gunnera talamancana	Gunnera talamancana	Gunnera talamancana	949371.0	[]	195017|Gunnera talamancana
cunoniaceae	Weinmannia	weinmannia fagaroides	Weinmannia fagaroides	Weinmannia fagaroides	5748939.0	['Weinmannia baccariniana caracasana', 'Weinmannia fagaroides brevispicata', 'Weinmannia microphylla caracasana', 'Weinmannia microphylla fagaroides', 'Weinmannia roraimensis', 'Weinmannia tamana', 'Windmannia fagaroides']	
asteraceae	Laestadia	laestadia costaricensis	Laestadia costaricensis	Laestadia costaricensis	988575.0	[]	382016|Laestadia costaricensis
rubiaceae	Psychotria	psychotria hoffmannseggiana	Psychotria hoffmannseggiana	Psychotria hoffmannseggiana	231065.0	['Psychotria involucrata']	96295|Psychotria hoffmannseggiana
moraceae	Pseudolmedia	pseudolmedia mollis	Pseudolmedia mollis	Pseudolmedia glabrata	6108819.0	['Brosimum ramonense', 'Bucephalon glabratum', 'Pseudolmedia malacocarpa', 'Pseudolmedia mollis', 'Pseudolmedia oxyphyllaria', 'Pseudolmedia simiarum', 'Trophis glabrata']	
asteraceae	Calea	calea urticifolia	Calea urticifolia	Calea urticifolia	7606989.0	['Calea axillaris urticifolia', 'Calea brachiata', 'Calea cacosmoides', 'Calea pellucidinerva', 'Caleacte urticifolia', 'Galinsoga brachiata', 'Galinsoga serrata', 'Inula serrata', 'Mocinna brachiata', 'Mocinna serrata', 'Solidago urticifolia']	
